model,rmse,rmse_std,n_estimators,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,rank_test_score,timestamp,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,depth,l2_leaf_reg,bagging_temperature,random_strength,iterations
CatBoost,1148.5824258825014,34.08737578780029,,0.06636186918179786,,,,,,,,51.0,2025-08-16T12:50:27,,,,,,,,5.0,3.2506221620987983,0.22696469436536415,1.7787818322576885,2878.0
CatBoost,1149.1867188892777,36.858582632866835,,0.12078335634400644,,,,,,,,52.0,2025-08-16T12:50:27,,,,,,,,4.0,5.500115616990056,0.3534213793027181,0.4737411179489641,2316.0
CatBoost,1149.402211031124,32.08908992359179,,0.09285128433065369,,,,,,,,53.0,2025-08-16T12:50:27,,,,,,,,6.0,3.73348706357035,0.23194709611597542,0.7818119918110293,1508.0
CatBoost,1149.863892112061,33.64651071826868,,0.09637887812589849,,,,,,,,54.0,2025-08-16T12:50:27,,,,,,,,4.0,1.7449986807462172,0.6954156483280532,1.491850417627349,2337.0
CatBoost,1150.1310275113144,32.642533042843155,,0.05840717990251801,,,,,,,,55.0,2025-08-16T12:50:27,,,,,,,,6.0,4.765936679567014,0.26933129830202507,1.0791124409910102,2804.0
CatBoost,1151.072983831979,32.62648390949866,,0.05111561106389285,,,,,,,,56.0,2025-08-16T12:50:27,,,,,,,,6.0,3.1482840636946756,0.8727302504846018,1.6838671335836173,2956.0
CatBoost,1152.3677313555518,27.453872932332644,,0.04177260172347523,,,,,,,,57.0,2025-08-16T12:50:27,,,,,,,,7.0,3.6258169183353006,0.7090462617224327,0.21375384618948767,2961.0
CatBoost,1152.3843406328037,30.77048622939917,,0.09486311896118876,,,,,,,,58.0,2025-08-16T12:50:27,,,,,,,,6.0,3.258838393686146,0.5866084631754741,0.33602841548972684,1482.0
CatBoost,1152.6652974192568,28.798374811276723,,0.13491503414064562,,,,,,,,59.0,2025-08-16T12:50:27,,,,,,,,5.0,1.8765147117882983,0.6900048908206657,0.40186737731811295,1207.0
CatBoost,1153.481149465772,28.468734112754056,,0.03911648247427764,,,,,,,,60.0,2025-08-16T12:50:27,,,,,,,,9.0,1.3155451653957508,0.11764902847355863,0.45471460019219756,1748.0
CatBoost,1154.427785260829,31.578350224932528,,0.08476791425119314,,,,,,,,61.0,2025-08-16T12:50:27,,,,,,,,5.0,4.13975026386318,0.6743038064090484,1.0649623851188523,2485.0
CatBoost,1154.4343361901651,28.76214553856102,,0.09936447332844973,,,,,,,,62.0,2025-08-16T12:50:27,,,,,,,,6.0,1.9259778393373397,0.17410933533408435,0.19679129942679463,1349.0
XGBoost,1154.7660270118188,28.89313520640926,,0.025325199623988413,,,,,,,,3.0,2025-08-16T07:57:59,4.0,5.310638086327253,0.9238064298899512,0.8620967922556086,0.4406858964873115,0.10438411189369216,0.4084532130706987,,,,,
CatBoost,1155.2538338449788,28.290528994470446,,0.050787534044163654,,,,,,,,63.0,2025-08-16T12:50:27,,,,,,,,8.0,5.814634376187899,0.4835456467199247,1.6119850995503162,2408.0
CatBoost,1156.9319295565783,29.88670146364178,,0.0752647396728968,,,,,,,,64.0,2025-08-16T12:50:27,,,,,,,,9.0,5.209992764450307,0.7284906771616132,1.5528948929994493,1235.0
CatBoost,1157.457974547668,31.441871377621023,,0.07698638522074623,,,,,,,,65.0,2025-08-16T12:50:27,,,,,,,,7.0,2.9126314012200414,0.11982900201764635,1.9483292572560311,1629.0
CatBoost,1157.9834431548518,26.691539605600184,,0.06265916125296289,,,,,,,,66.0,2025-08-16T12:50:27,,,,,,,,9.0,4.9709866563854215,0.09299063982313216,1.176404533896781,1515.0
CatBoost,1159.029843980327,30.30591334356246,,0.05923179396056949,,,,,,,,67.0,2025-08-16T12:50:27,,,,,,,,7.0,1.7444402516622235,0.3056042154902149,1.7533015236564011,2124.0
CatBoost,1160.8333476274997,27.782464582586694,,0.04518103938276913,,,,,,,,68.0,2025-08-16T12:50:27,,,,,,,,9.0,5.125653338330576,0.520296576918654,0.7469251922883469,2373.0
CatBoost,1161.8303948737125,28.97426995936001,,0.04213715037603672,,,,,,,,69.0,2025-08-16T12:50:27,,,,,,,,8.0,2.8111772082614417,0.33451128874193214,0.05239341706412959,2648.0
CatBoost,1162.8305828630487,35.49941104680822,,0.10803389960507749,,,,,,,,70.0,2025-08-16T12:50:27,,,,,,,,6.0,2.4972175524594333,0.17348007426595724,1.2751065289404595,1659.0
CatBoost,1164.547481255734,30.076211977975774,,0.08102951473370941,,,,,,,,71.0,2025-08-16T12:50:27,,,,,,,,8.0,2.9379761574138477,0.46194693667095577,1.983176817740548,1435.0
LightGBM,1166.2507045731813,31.677359464450806,2335.0,0.03597403143049739,33.0,130.0,0.9377762690534515,0.8998464928034349,0.0,0.6937719848597786,0.42497600495175053,20.0,2025-08-15T19:31:27,,,,,,,,,,,,
CatBoost,1166.8958801968984,30.576887306197953,,0.09753081481550097,,,,,,,,72.0,2025-08-16T12:50:27,,,,,,,,7.0,3.4966691748930914,0.2660192780053807,0.29847555590035224,1509.0
CatBoost,1167.791255359181,30.712700028037336,,0.0369533659130607,,,,,,,,73.0,2025-08-16T12:50:27,,,,,,,,9.0,2.059912454511193,0.8187350040742701,0.6450559556928304,2698.0
XGBoost,1167.9425921988798,28.348135797175654,,0.020280726875093393,,,,,,,,4.0,2025-08-16T07:57:59,5.0,2.3607256861498134,0.8360922667476348,0.7443895587760108,0.07326565866130733,1.1007762905546914,0.1368186309189614,,,,,
CatBoost,1168.383301812632,35.37187615579698,,0.13163826618053884,,,,,,,,74.0,2025-08-16T12:50:27,,,,,,,,5.0,2.265292164003923,0.7811704237869193,1.6502643918574076,1758.0
CatBoost,1169.1148293551169,32.37657338317482,,0.12314782779763349,,,,,,,,75.0,2025-08-16T12:50:27,,,,,,,,7.0,2.9619686076423726,0.9562221906489483,0.2662900083561939,1191.0
CatBoost,1169.3844137306878,29.66403433309394,,0.050783607493309735,,,,,,,,76.0,2025-08-16T12:50:27,,,,,,,,8.0,4.270873007370373,0.19809763275974013,1.1306605091432198,2938.0
LightGBM,1169.4296063388006,27.368704131896013,1227.0,0.08445278501822573,64.0,130.0,0.8981757896737319,0.7726638184918717,2.0,0.30301810076103153,0.4049362006463017,21.0,2025-08-15T19:31:27,,,,,,,,,,,,
CatBoost,1169.7018214606856,29.500784150882705,,0.06259955669983247,,,,,,,,77.0,2025-08-16T12:50:27,,,,,,,,9.0,1.3471192137304668,0.5190597909082704,0.1352251271844298,1516.0
LightGBM,1170.1985817692148,29.853944492942823,1883.0,0.06936246860680143,85.0,187.0,0.8904365334890646,0.9903408317850139,1.0,0.25836517835299677,0.9542234337224443,22.0,2025-08-15T19:31:27,,,,,,,,,,,,
LightGBM,1172.5745471542746,26.76134529280132,1125.0,0.0960081025180071,105.0,134.0,0.8149053666856281,0.7840476635934288,2.0,0.3202403911282251,0.8372010884363181,23.0,2025-08-15T19:31:27,,,,,,,,,,,,
CatBoost,1172.7708395419504,33.97231121715564,,0.10717540581356058,,,,,,,,78.0,2025-08-16T12:50:27,,,,,,,,7.0,5.9590497567468175,0.0991780995872159,0.8029886317225765,1873.0
CatBoost,1174.717261520007,35.87428560408536,,0.13479375453001494,,,,,,,,79.0,2025-08-16T12:50:27,,,,,,,,4.0,1.344790081782106,0.05705472115125432,0.5643741493864003,2243.0
LightGBM,1176.9016935223256,29.09043443830834,1337.0,0.12052521270887935,41.0,197.0,0.9698774473114251,0.9509357413523924,2.0,0.18284001743783973,0.20994591251512343,24.0,2025-08-15T19:31:27,,,,,,,,,,,,
XGBoost,1176.9846948010777,25.41226043900949,,0.07618781941296551,,,,,,,,5.0,2025-08-16T07:57:59,3.0,1.1827483392404745,0.7888267780439997,0.8259364533050466,0.05256691154268189,0.9306331400340127,0.4532888347480276,,,,,
CatBoost,1178.9017018531745,30.241297471277402,,0.08601103285497873,,,,,,,,80.0,2025-08-16T12:50:27,,,,,,,,6.0,2.9432639931492353,0.16368380146530148,0.547582615028213,2748.0
LightGBM,1180.044598842278,27.274941111606985,1125.0,0.034371455818310144,47.0,32.0,0.8374369814216195,0.8716409276577959,2.0,0.5190582722332608,0.5754985221051002,25.0,2025-08-15T19:31:27,,,,,,,,,,,,
LightGBM,1180.0557698953817,27.461830604797715,2417.0,0.07081651307697423,54.0,196.0,0.892659102119856,0.6510758917689862,0.0,0.6211303685935975,0.4089642483036214,26.0,2025-08-15T19:31:27,,,,,,,,,,,,
LightGBM,1181.6714859763356,28.35543163561482,1770.0,0.0866518046723153,83.0,184.0,0.9028324808169823,0.7511402197103145,0.0,0.36043530824807485,0.15499129818179397,27.0,2025-08-15T19:31:27,,,,,,,,,,,,
LightGBM,1182.1105155261753,29.927758802782332,2727.0,0.02174535988014583,68.0,69.0,0.8359670747418533,0.756897618039893,2.0,0.07280167284106423,0.8716764391802739,28.0,2025-08-15T19:31:27,,,,,,,,,,,,
LightGBM,1182.4660271864063,28.817833475593886,1573.0,0.0630596580948203,72.0,108.0,0.8731928253668529,0.7807794405196157,1.0,0.7197339562337386,0.7489218530182051,29.0,2025-08-15T19:31:27,,,,,,,,,,,,
XGBoost,1182.6575833777244,25.1132500050497,,0.08420836627203904,,,,,,,,6.0,2025-08-16T07:57:59,3.0,2.497979558832385,0.7239747705074444,0.7589272461830392,0.34143112426939953,0.9597384264891232,0.349386999049333,,,,,
